"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane"
"1","Austria",35282.2334439708,NA,33927.8230268676,99.5741814991024,NA,16270.9090501163,5356.08463680954,2198.84460565297,NA
"2","Belgium",24410.4610105996,NA,10517.2029768495,NA,NA,3070.88240354435,764.044138054002,8181.74736987151,NA
"3","Bulgaria",131827.230749762,1078.98559457835,55121.3384465292,2.09992674346528,NA,19608.1423604132,63717.3594712253,1381.47043103078,NA
"4","Cyprus",912.543864879953,NA,NA,NA,NA,1796.25087910471,5.40916203932037,425.799107862076,NA
"5","Czechia",97111.6529114052,NA,17370.1788654765,27.4351808470387,NA,31255.5834645242,26775.0816365339,2709.80353508746,NA
"6","Denmark",88959.3380853226,NA,1597.82233260415,NA,NA,46657.8955056887,11257.8184943355,3852.70638136073,NA
"7","Estonia",13908.8088196288,NA,NA,NA,NA,8732.08501891894,6638.93502895985,936.557896705327,NA
"8","Finland",24604.7828753538,NA,NA,NA,NA,32920.1092791612,10662.8106700103,2521.77144961793,NA
"9","France",632224.089979296,2146.620084129,269026.018907859,147.542301221211,NA,124533.292469686,146054.880273979,15719.242176543,NA
"10","Germany",384181.666113974,NA,78476.7915781163,2.89645068064176,NA,168723.667357806,100486.679349709,25454.5808859113,NA
"11","Greece",85916.709702957,2707.32863724377,36889.0082887444,1.46270759372409,NA,10193.6307652712,4444.09991698012,4465.43680144052,NA
"12","Hungary",117802.621010729,180.176270281098,185122.349920921,109.161433252027,NA,24693.8009052904,51442.6185134975,2025.62292393517,NA
"13","Ireland",9063.69369177331,NA,NA,NA,NA,13016.4594759868,540.916203932037,1220.85760656106,NA
"14","Italy",213250.189080318,22314.8310743139,155876.146328584,461.983883562361,NA,23705.52821665,8174.5961319229,6244.38644667298,NA
"15","Latvia",35089.7755779193,NA,NA,NA,NA,9914.70982131086,7173.90115464864,3012.11589815475,NA
"16","Lithuania",60300.3580316435,NA,1194.161953841,NA,NA,20922.7897429463,17032.09897131,3662.57281968319,NA
"17","Luxembourg",1632.04736411378,NA,63.0719341817429,NA,NA,681.087755692,318.802487692444,61.5432318061519,NA
"18","Malta",332.840268346997,NA,NA,NA,NA,38.9001743176713,NA,70.1492772294512,NA
