"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane"
"1","Austria",37381.8361734718,NA,33764.4936986928,76.1449450089379,NA,11681.3380816837,5423.50796012765,2367.9497171423,NA
"2","Belgium",26001.4478660693,NA,9816.70699430275,NA,NA,2786.5815338763,901.995707420761,8982.90539675927,NA
"3","Bulgaria",155580.933315995,1159.16454591895,63580.9909885992,0.529845962486906,NA,14015.978240738,76456.0395898844,1129.49341165598,NA
"4","Croatia",19159.2263726295,NA,43772.4008973695,81.8290630065023,NA,2784.88382663927,4287.51090729814,1141.67422295815,NA
"5","Cyprus",752.802655301251,NA,NA,NA,NA,1108.71990903536,3.77063779331629,543.928591966094,NA
"6","Czechia",102575.159653657,NA,15362.7575115753,12.5808015092793,NA,22045.489513951,30158.0786094644,2656.85641430018,NA
"7","Denmark",81243.7877872792,NA,1571.29541430203,NA,NA,41617.2439586693,12280.4497543105,4451.53285770297,NA
"8","Estonia",18945.8402572964,NA,NA,NA,NA,8266.07799544818,5914.72595030007,708.701748490025,NA
"9","Finland",32811.6430362762,NA,NA,NA,NA,30476.7719860504,3179.16519828629,2436.16226043446,NA
"10","France",650000.61184814,1760.42276551723,287143.035649851,131.660641478427,NA,109202.383648365,159719.780880415,18660.8921802798,NA
"11","Germany",395077.214225499,NA,74877.6715746104,15.6347988930562,NA,129002.333362391,104557.567986429,27107.8418797435,NA
"12","Greece",70158.7533496909,2844.11512919261,27623.3733834296,4.87979445451055,NA,9614.11608327527,6044.92385528105,2890.17431806088,NA
"13","Hungary",136538.891382781,251.92383502721,190069.182823289,74.6648507137286,NA,19364.9854115744,59698.0683571224,2323.21291926886,NA
"14","Ireland",8785.76530066334,NA,NA,NA,NA,12638.7278801083,694.980299160258,1051.97915791488,NA
"15","Italy",229973.419349608,23040.5340785303,135340.963543149,404.536523758814,NA,16862.7991107143,9462.52644343881,5796.8480987038,NA
"16","Latvia",48051.7554712257,NA,NA,NA,NA,8792.95265521471,6979.37662135408,2967.68857180198,NA
"17","Lithuania",86876.0032523693,NA,2955.90226452856,NA,NA,17849.3426403127,15903.2193988693,3023.05589590276,NA
"18","Luxembourg",1554.07426721929,NA,33.6039415335879,NA,NA,537.587777848446,306.530672374301,67.2159314583508,NA
"19","Malta",390.696602197096,NA,NA,NA,NA,30.090397235555,NA,77.5142537410965,NA
"20","Netherlands",17450.2968566751,NA,1959.29647997225,NA,NA,1717.20159943684,228.160553532825,17219.45926464,NA
"21","Poland",286983.096947151,NA,106097.288997347,NA,NA,101342.584557226,70419.9138894545,30665.4139225152,NA
"22","Portugal",5868.54764342912,3018.25748015517,16746.2753451781,NA,NA,2163.46443625909,1149.97059288709,3013.53271615743,6.90980918309859
"23","Romania",258641.764185574,1335.09135737962,390337.784197235,137.71652024967,NA,31583.6185629622,103711.614307388,22441.1516005849,NA
"24","Slovakia",46540.3829683169,NA,33869.0392945751,57.7219403132866,NA,9104.86245379649,14946.4385423339,1008.23897187526,NA
"25","Slovenia",4064.52080753034,NA,5963.29945798128,0.701828750310524,NA,1191.38068898984,429.926642512436,398.644733525639,NA
"26","Spain",266419.743307266,11590.490808279,65114.6375424793,1.39844590099003,NA,173868.81334784,61180.5204824907,8410.96093879818,1.00303681690141
"27","Sweden",55644.8163204582,NA,NA,NA,NA,20840.8198752093,6943.88826565228,2635.48462719728,NA
"28","United_Kingdom",237526.968796231,NA,NA,NA,NA,63803.3504651492,49874.4478944178,15613.5853964209,NA
"29","Argentina",220000,3000,211000,67000,0,72418.3488755768,16277.7988025148,7805.39174389217,25000
"30","Australia",553000,8000,15000,0,0,169588.906877323,122426.098716706,18788.2068262863,60000
"31","Bangladesh",20000,1025000,32000,10000,0,0,7889.67912508171,47345.1599671862,12000
"32","Belarus",81000,0,115000,0,0,81459.981540545,53071.18853062,4000,NA
"33","Brazil",179000,182000,1059000,266000,12000,37509.0291038785,3807.56368349687,36592.4180332511,802000
"34","Canada",773000,0,201000,15000,0,228097.235932873,892953.825728309,25000,NA
"35","Chile",37000,2000,25000,0,0,1239.7379862171,1253.54846536455,5842.96255046638,NA
"36","China,_mainland",3396000,3899000,4654000,201000,5000,131397.68115942,709559.341703556,601124.599376126,443071.718538566
"37","Egypt",238000,153000,266000,1000,0,17000,10291.8783349755,31336.8127186896,31363.4432908099
"38","Eu-28-2014",3281000,45000,1506000,1000,0,864294.515417191,810857.081374438,189792.062526414,7.91284592734743
"39","India",3949000,4932000,831000,271000,0,915000,878139.97247484,129894.230646905,847000
"40","Indonesia",0,1192000,447000,15000,745000,NA,2123.31376727905,73378.1475582324,60000
"41","Iran_(Islamic_Republic_of)",309000,58000,44000,1000,0,62000,13394.0709055997,37000,13875.3961177772
"42","Japan",37000,115000,0,5000,0,1003.08621490675,0,11714.0414618508,4277.70859277709
"43","Malaysia",0,83000,1000,0,470000,NA,0,475.299984416394,1000
"44","Mexico",82000,7000,890000,0,7000,48694.1513761948,1911.73155220566,7778.63425511707,97993.5685747437
"45","Morocco",88000,0,10000,0,0,34025.0585954983,269.764186114929,5919.29295910284,1169.78559106219
"46","New_Zealand",9000,0,4000,0,0,7952.83693224125,0,1750.50148056166,NA
"47","Pakistan",1359000,497000,149000,0,0,17000,27829.8392148674,27345.7608137744,198530.000209939
"48","Philippines",0,337000,133000,0,3000,0,92.3196610507789,2662.92474469384,44000
"49","ROW-2014",763000,985000,978000,39000,143000,346315.670200889,181535.468245425,124506.539392782,336758.643925804
"50","Russian_Federation",609000,15000,163000,30000,0,158250.724979983,96305.3053433419,15000,NA
"51","South_Africa",21000,0,268000,5000,0,6229.47028934798,11833.8666761836,9722.31634067457,32000
"52","Thailand",0,986000,85000,0,35000,1088.91399064063,551.612958784726,27472.0530666294,85000
"53","Turkey",627000,15000,119000,2000,0,156859.549784636,37513.075113083,21990.7509770643,NA
"54","Ukraine",319000,1000,331000,35000,0,127472.072024079,208376.359166969,35000,NA
"55","United_States_of_America",1561000,201000,5577000,178000,0,394477.230297449,128192.778474605,100091.227120338,41381.3606092939
"56","Uzbekistan",188000,7000,6000,0,0,9772.96181630547,4579.21635434412,7000,NA
"57","Viet_Nam",0,812000,162000,5000,0,0,10462.0181619031,22008.6401744746,54000
